index,label
1,PROCESS_OF
2,PART_OF
3,LOCATION_OF
4,DIAGNOSES
5,INTERACTS_WITH
6,TREATS
7,COEXISTS_WITH
8,ISA
9,USES
10,PRECEDES
11,ASSOCIATED_WITH
12,CAUSES
13,AFFECTS
14,ADMINISTERED_TO
15,DISRUPTS
16,OCCURS_IN
17,NEG_INHIBITS
18,COMPLICATES
19,INHIBITS
20,STIMULATES
21,AUGMENTS
22,compared_with
23,PREDISPOSES
24,PREVENTS
25,METHOD_OF
26,different_from
27,NEG_CAUSES
28,NEG_INTERACTS_WITH
29,NEG_AFFECTS
30,NEG_DISRUPTS
31,PRODUCES
32,MANIFESTATION_OF
33,NEG_PART_OF
34,higher_than
35,NEG_AUGMENTS
36,NEG_PROCESS_OF
37,NEG_LOCATION_OF
38,NEG_COEXISTS_WITH
39,NEG_PREVENTS
40,CONVERTS_TO
41,NEG_TREATS
42,NEG_ASSOCIATED_WITH
43,NEG_COMPLICATES
44,lower_than
45,same_as
46,NEG_higher_than
47,NEG_PRODUCES
48,NEG_DIAGNOSES
49,NEG_USES
